obs,estaturas,pesos
1,160,54
2,170,78
3,190,75
4,180,86
5,172,64
6,170,79
7,182,71
8,170,52
9,167,72
10,184,75
11,180,86
12,162,75
13,175,80
14,165,80
15,185,84
16,179,79
17,165,59
18,169,70
19,180,75
20,160,63
21,165,59
22,173,64
23,182,73
24,189,85
25,175,69
26,179,70
27,169,65
28,174,65
29,172,60
30,171,65
31,170,78
32,187,92
33,165,68
34,172,78
35,190,94
36,182,87
37,179,82
38,167,70
39,175,78
40,185,90
41,173,75
42,168,72
43,178,78
44,185,87
45,187,90
46,176,82
47,172,75
48,175,80
49,169,60
50,171,75
